model,ltime,dur,sbytes,rate,bytes,spkts,pkts,srate,max,flgs,mean,state,min,stddev,seq,sum,proto,dpkts,drate,dbytes,f1_score
rforest_0_vanilla,0.46803180104202763,0.048182582909825265,0.12337154045760515,0.052892273396635464,0.07182838329435631,0.01224406858383279,0.01669759126607928,0.0073417793055958,0.004081363012017542,0.0020107922086113326,0.0034061908228158752,0.07572050273928699,0.0024480602653113325,0.0016094886784019558,0.06329961433881935,0.0024965427058147474,0.026104792333786653,0.004178746679809126,0.0032068573658503136,0.010847028593516994,0.998622
rforest_1_vanilla,0.4569592359410659,0.04897712647690775,0.13582898738938926,0.04958676701317577,0.06711498965301385,0.008335998568028191,0.01896319417252714,0.007773083724520644,0.005881008909631796,0.0030030384224266848,0.002043569506929293,0.07641632606674974,0.0023305833075263098,0.0016482433786267955,0.0731857660141983,0.0032321046604747313,0.019358926209137997,0.005065591192273737,0.0046013209935925215,0.009694138399803496,0.99842
rforest_2_vanilla,0.4348168647223029,0.04890352319016897,0.14031332504595442,0.056780775506402696,0.059131318905178004,0.007236508441951641,0.01971693175353674,0.010424158266823079,0.005757440340008946,0.001899898759484029,0.002402061247062888,0.06972723730323635,0.0025368643361770404,0.0013730324933004807,0.09453650976658722,0.0026070470554732925,0.02398093788472824,0.007272538367353934,0.0028016927027060268,0.00778133391156291,0.998666
rforest_3_vanilla,0.4385498459433641,0.0506495562111509,0.13622903303643827,0.05687638282154913,0.059617087501697155,0.010986895434953941,0.017729585457255916,0.005996348609956267,0.004758758835817648,0.0018343196704495638,0.003018770824233013,0.07435544086793067,0.0027664930803786825,0.0009514379773765542,0.09091356028040377,0.003124115782171682,0.024513355473812767,0.005664614083424696,0.003161142808697241,0.008303255298938092,0.998578
rforest_4_vanilla,0.4539211246748634,0.048716178820213514,0.12603156446013902,0.059665724867428264,0.07414869251994231,0.014535867444725032,0.017461249626663306,0.007242182824672019,0.007259385721843644,0.0015811178980664378,0.002408290886038888,0.0674833789274866,0.0020837893298261893,0.0005272474944637732,0.0719282693873728,0.002951739161630315,0.026113047515949523,0.0041859511017675495,0.004097981811522901,0.007657215525384361,0.99891
etrees_0_vanilla,0.4913950529058698,0.015787369592818196,0.011078077951245466,0.01624694306783218,0.008212806060225045,0.00883195488891917,0.00960185766822548,0.019352670178225968,0.04110326308791435,0.05918251556129418,0.023589786382558545,0.1649384351925181,0.008288397250815975,0.014690785588062532,0.0396566420050004,0.006083841232732523,0.04980105146777748,0.0057781093581969175,0.003369306497570929,0.0030111340621967455,0.998909
etrees_1_vanilla,0.4879646272700739,0.012979478495977664,0.010927469143463042,0.013439852161443375,0.008254525868536111,0.010942530474938426,0.008003356246222738,0.023287230889372765,0.04209446468499981,0.0656219653085306,0.022760858670458316,0.15948032720948818,0.009817159260110927,0.015174552153025381,0.03947849275592468,0.006215024226061429,0.05199947591195792,0.005972428168358603,0.0035218328224633916,0.0020643482785925754,0.998587
etrees_2_vanilla,0.5038786711592197,0.013882006157412403,0.009254311511419635,0.013595363780392203,0.008006444980848463,0.01209678263013782,0.008119221755686808,0.021550290238824096,0.04898597608626288,0.05036141026881891,0.020493469585276265,0.16354856824151623,0.0056202849908273175,0.012386443060584965,0.034821200661360074,0.006566003375045565,0.05444378486351972,0.005678319550872482,0.0026829154985179384,0.00402853160345646,0.998552
etrees_3_vanilla,0.5121447554172244,0.011799868714611826,0.010483894172689438,0.01348028183435899,0.006482028845327967,0.007648842031672755,0.007598450382150164,0.019626892403824876,0.04194846210208308,0.05589367797661509,0.01697265223004191,0.16648362385148738,0.007684961708379969,0.012774470772478412,0.03996714935436722,0.005795267212080876,0.05245180274489016,0.004573887237075103,0.002844485358307498,0.003344545650333199,0.99898
etrees_4_vanilla,0.5005884316664605,0.015071047541978431,0.009193756936565567,0.017016779848627255,0.007608927624355066,0.009865621035269946,0.006655124211250519,0.020487541510970552,0.04035923932634569,0.05127874107291143,0.022012794301994057,0.17064190468909338,0.007957883572116917,0.013611637705414917,0.04157931569892604,0.006220575833785646,0.04852782508785053,0.004638852047119036,0.003935632898537522,0.002748367390427073,0.998831
